From	Entry	Entry Name	Protein names	Gene Names	Organism	Reviewed
AT2G41970	P93749	Y2197_ARATH	Probable protein kinase At2g41970 (EC 2.7.11.-)	At2g41970 T6D20.14	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G23310	Q9FMX0	SODF3_ARATH	Superoxide dismutase [Fe] 3, chloroplastic (EC 1.15.1.1) (Protein FE SUPEROXIDE DISMUTASE 3)	FSD3 At5g23310 MKD15.17	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G01200	Q9LNK1	RABA3_ARATH	Ras-related protein RABA3 (AtRABA3)	RABA3 At1g01200 F6F3.1	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G22125	F4IIM1	CSI1_ARATH	Protein CELLULOSE SYNTHASE INTERACTIVE 1 (Protein POM-POM 2)	CSI1 POM2 At2g22125 T16B14.2	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G15700	O23421	GRXS3_ARATH	Monothiol glutaredoxin-S3 (AtGrxS3) (Protein ROXY 11)	GRXS3 ROXY11 At4g15700 dl3890w FCAALL.358	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G30730	Q9SA88	BBE11_ARATH	Berberine bridge enzyme-like 11 (AtBBE-like 11) (EC 1.1.1.-)	At1g30730 T5I8.18	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G22235	Q6NMS3	DEF95_ARATH	Defensin-like protein 95	At4g22235 T10I14.11	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G38960	C0SVM5	BBX19_ARATH	B-box zinc finger protein 19 (Protein DOUBLE B-BOX 1B) (Protein SALT TOLERANCE HOMOLOG 5)	BBX19 DBB1B STH5 At4g38960 F19H22.60	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G26290	O64842	PBL12_ARATH	Probable serine/threonine-protein kinase PBL12 (EC 2.7.11.1) (PBS1-like protein 12) (Root-specific kinase 1)	PBL12 ARSK1 At2g26290	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G26900	Q9LW20	SKL1_ARATH	Probable inactive shikimate kinase like 1, chloroplastic (AtSKL1)	SKL1 At3g26900 MDJ14.24	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G15735	P82629	DF242_ARATH	Defensin-like protein 242 (S locus cysteine-rich-like protein 10) (Protein SCRL10) (SCR-like protein 10)	SCRL10 At4g15735 FCAALL	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G15000	Q9LKA5	MORF8_ARATH	Multiple organellar RNA editing factor 8, chloroplastic/mitochondrial (RNA editing-interacting protein 1)	MORF8 RIP1 At3g15000 K15M2.14	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G39740	Q5XET5	HESO1_ARATH	Protein HESO1 (EC 2.7.7.52) (HEN1 suppressor 1) (RNA uridylyltransferase)	HESO1 At2g39740 T5I7.4	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G56490	Q8GUN2	HINT1_ARATH	Adenylylsulfatase HINT1 (EC 3.6.2.1) (HIS triad family protein 3) (Histidine triad nucleotide-binding protein 1)	HINT1 HIT3 At3g56490 5P19_140	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G50370	Q9SX52	FYPP1_ARATH	Phytochrome-associated serine/threonine-protein phosphatase 1 (AtFyPP1) (EC 3.1.3.16)	FYPP1 At1g50370 F14I3.5	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G14710	Q8W108	MTND3_ARATH	Acireductone dioxygenase 3 (Acireductone dioxygenase (Fe(2+)-requiring) 3) (ARD' 3) (Fe-ARD 3) (EC 1.13.11.54) (Acireductone dioxygenase (Ni(2+)-requiring) 3) (ARD 3) (Ni-ARD 3) (EC 1.13.11.53)	ARD3 At4g14710 dl3395c FCAALL.141	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G47510	Q5EAF2	IP5PB_ARATH	Type IV inositol polyphosphate 5-phosphatase 11 (At5PTase11) (EC 3.1.3.36) (EC 3.1.3.86)	IP5P11 At1g47510 F16N3.22	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G59220	Q9LX49	PRN1_ARATH	Pirin-1 (AtPirin1)	PRN1 At3g59220 F25L23_80	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G11810	Q9SI93	MGDG3_ARATH	Monogalactosyldiacylglycerol synthase 3, chloroplastic (AtMGD3) (EC 2.4.1.46) (MGDG synthase type C)	MGD3 MGDC At2g11810 F7E22.4	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G20865	Q8LD43	AGP40_ARATH	Arabinogalactan protein 40 (AtAGP40) (Arabinogalactan peptide 40) (AG-peptide 40)	AGP40 At3g20865 MOE17	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G27460	Q84WQ5	CBSX5_ARATH	CBS domain-containing protein CBSX5	CBSX5 At4g27460 F27G19.60	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G72200	Q84W40	ATL11_ARATH	RING-H2 finger protein ATL11 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL11)	ATL11 At1g72200 T9N14.11	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G03540	Q9LZD3	E70A1_ARATH	Exocyst complex component EXO70A1 (AtExo70a1) (Exocyst subunit Exo70 family protein A1)	EXO70A1 At5g03540 F12E4.320	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G56030	Q9LY43	PP283_ARATH	Pentatricopeptide repeat-containing protein At3g56030, mitochondrial	At3g56030 F27K19_210	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G47590	Q8LB72	PHR2_ARATH	Blue-light photoreceptor PHR2	PHR2 At2g47590 T30B22.11	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G01520	Q6R0H0	RVE3_ARATH	Protein REVEILLE 3 (Myb transcription factor LHY-CCA1-like3) (Myb-related protein ASG4) (Protein ALTERED SEED GERMINATION 4) (Transcription factor ASG4)	RVE3 ASG4 LCL3 At1g01520 F22L4.18	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G11810	Q9SA94	FB5_ARATH	F-box protein At1g11810	At1g11810 F25C20.2	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G17420	Q9LNR3	LOX3_ARATH	Lipoxygenase 3, chloroplastic (AtLOX3) (EC 1.13.11.12)	LOX3 At1g17420 F28G4.10	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G10400	Q9SV82	FBD40_ARATH	FBD-associated F-box protein At4g10400	At4g10400 F24G24.200	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G74690	Q8L4D8	IQD31_ARATH	Protein IQ-DOMAIN 31 (AtIQD31)	IQD31 At1g74690 F1M20.37 F25A4.33	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G23290	Q9LR33	R27A2_ARATH	Large ribosomal subunit protein uL15y (60S ribosomal protein L27a-2)	RPL27AB At1g23290 F26F24.13 F26F24_23	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G31260	Q8RUS5	ATG9_ARATH	Autophagy-related protein 9 (AtAPG9)	ATG9 APG9 At2g31260	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G30080	Q93YR9	ARFP_ARATH	Auxin response factor 16	ARF16 At4g30080 F6G3.110	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G59880	Q9ZSK4	ADF3_ARATH	Actin-depolymerizing factor 3 (ADF-3) (AtADF3)	ADF3 At5g59880 MMN10.12	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G55160	Q9FLP6	SUMO2_ARATH	Small ubiquitin-related modifier 2 (AtSUMO2)	SUMO2 SUM2 At5g55160 MCO15.11	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G54900	Q9FPJ8	RB45A_ARATH	Polyadenylate-binding protein RBP45A (Poly(A)-binding protein RBP45A) (RNA-binding protein 45A) (AtRBP45A)	RBP45A At5g54900 MBG8.17	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G48930	Q9FI78	HST_ARATH	Shikimate O-hydroxycinnamoyltransferase (EC 2.3.1.133) (Hydroxycinnamoyl transferase) (AtHCT) (Hydroxycinnamoyl-Coenzyme A shikimate/quinate hydroxycinnamoyltransferase)	HST HCT At5g48930 K19E20.4	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G20150	Q8LBH4	SPX1_ARATH	SPX domain-containing protein 1 (Protein SPX DOMAIN GENE 1) (AtSPX1)	SPX1 At5g20150 F5O24.40	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G02450	Q9LZ57	RL363_ARATH	Large ribosomal subunit protein eL36x (60S ribosomal protein L36-3)	RPL36C At5g02450 T22P11_40	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G32690	Q67XG0	GLB3_ARATH	Two-on-two hemoglobin-3 (AtGLB3) (2-on-2 hemoglobin-3)	GLB3 At4g32690 F4D11.110	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G18100	P49211	RL321_ARATH	Large ribosomal subunit protein eL32z (60S ribosomal protein L32-1)	RPL32A At4g18100 F15J5.70	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G00100	P59224	RS132_ARATH	Small ribosomal subunit protein uS15y (40S ribosomal protein S13-2)	RPS13B At4g00100 F6N15.7	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G53190	Q9SCP2	PLY12_ARATH	Probable pectate lyase 12 (EC 4.2.2.2)	At3g53190 T4D2.120	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G48000	Q9SU63	AL2B4_ARATH	Aldehyde dehydrogenase family 2 member B4, mitochondrial (ALDH2a) (EC 1.2.1.3)	ALDH2B4 ALDH2 At3g48000 T17F15.130	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G20390	Q94JQ4	RIDA_ARATH	Reactive Intermediate Deaminase A, chloroplastic (EC 3.5.99.10) (2-iminobutanoate/2-iminopropanoate deaminase)	RIDA At3g20390 MQC12.15	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G02510	O64725	NDB3A_ARATH	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3-A	At2g02510 T8K22.19	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G75330	O50039	OTC_ARATH	Ornithine transcarbamylase, chloroplastic (OTCase) (EC 2.1.3.3) (Ornithine carbamoyltransferase, chloroplastic)	OTC At1g75330 F1B16.13	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G52740	Q9C944	H2AV3_ARATH	Probable histone H2A variant 3 (H2A.F/Z 3) (HTA9)	At1g52740 F14G24.1	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G30230	P48006	EF1D1_ARATH	Elongation factor 1-delta 1 (EF-1-delta 1) (Elongation factor 1B-beta 1) (eEF-1B beta 1)	At1g30230 F12P21.12	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G56750	Q9FJT7	NDL1_ARATH	Protein NDL1 (Protein N-MYC DOWNREGULATED-LIKE 1)	NDL1 At5g56750 MIK19.22	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G53400	Q9LV09	BOB1_ARATH	Protein BOBBER 1	BOB1 At5g53400 MYN8.1	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G43940	Q96533	ADHX_ARATH	Alcohol dehydrogenase class-3 (EC 1.1.1.1) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-) (Nitrosoglutathione reductase) (EC 1.1.1.-) (S-(hydroxymethyl)glutathione dehydrogenase) (EC 1.1.1.284)	ADH2 ADHIII FDH1 GSNOR At5g43940 MRH10.4	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G25100	Q9C5N2	TMN9_ARATH	Transmembrane 9 superfamily member 9 (Endomembrane protein 2) (Transmembrane nine protein 9) (AtTMN9)	TMN9 EMP2 At5g25100 T11H3_110	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G23630	Q9LT02	PDR2_ARATH	Probable manganese-transporting ATPase PDR2 (EC 7.2.2.-) (Protein MALE GAMETOGENESIS IMPAIRED ANTHERS) (Protein PHOSPHATE DEFICIENCY RESPONSE 2)	PDR2 MIA At5g23630 MQM1.11	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G17920	O50008	METE1_ARATH	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 1 (EC 2.1.1.14) (Cobalamin-independent methionine synthase 1) (AtMS1) (Vitamin-B12-independent methionine synthase 1)	MS1 CIMS At5g17920 MPI7.9	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G03290	Q945K7	IDH5_ARATH	Isocitrate dehydrogenase [NAD] catalytic subunit 5, mitochondrial (EC 1.1.1.41) (IDH-V) (Isocitric dehydrogenase 5) (NAD(+)-specific ICDH 5)	IDH5 At5g03290 F12E4_20 MOK16.20	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G39330	P42734	CADH9_ARATH	Probable cinnamyl alcohol dehydrogenase 9 (AtCAD9) (EC 1.1.1.195)	CAD9 CAD1 At4g39330 T22F8.230	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G18480	P16127	CHLI1_ARATH	Magnesium-chelatase subunit ChlI-1, chloroplastic (Mg-chelatase subunit I-1) (EC 6.6.1.1) (Mg-protoporphyrin IX chelatase subunit ChlI-1) (Protein CHLORINA 42)	CHLI1 CH42 CS At4g18480 F28J12.140	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G16500	Q84WT8	CYT4_ARATH	Cysteine proteinase inhibitor 4 (AtCYS-4)	CYS4 At4g16500 dl4275c FCAALL.171	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G62720	Q9LZJ3	XXT1_ARATH	Xyloglucan 6-xylosyltransferase 1 (AtXT1) (EC 2.4.2.39)	XXT1 XT1 At3g62720 F26K9_150	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G61110	Q9M2F1	RS272_ARATH	Small ribosomal subunit protein eS27y (40S ribosomal protein S27-2)	RPS27B ARS27A At3g61110 T20K12.10 T27I15_200	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G53620	Q9LFF9	IPYR4_ARATH	Soluble inorganic pyrophosphatase 4 (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase 4) (PPase 4)	PPA4 At3g53620 F4P12.320	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G46500	Q9ZPY9	P4KG4_ARATH	Phosphatidylinositol 4-kinase gamma 4 (AtPI4Kgamma4) (PI-4Kgamma4) (PI4K gamma 4) (EC 2.7.1.67) (Ubiquitin-like domain kinase gamma 4) (UbDK gamma 4)	PI4KG4 PI4KGAMMA4 UBDKGAMMA4 At2g46500 F11C10.19 F13A10.3	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G31360	Q9SID2	ADS2_ARATH	Delta-9 acyl-lipid desaturase 2 (EC 1.14.19.75)	ADS2 At2g31360 T28P16.15	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G29530	Q9ZW33	TIM10_ARATH	Mitochondrial import inner membrane translocase subunit TIM10	TIM10 At2g29530 F16P2.9	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G19170	O64481	SBT25_ARATH	Subtilisin-like protease SBT2.5 (EC 3.4.21.-) (Subtilase subfamily 2 member 5) (AtSBT2.5) (Subtilisin-like serine protease 3) (At-SLP3)	SBT2.5 SLP3 At2g19170	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G16280	Q9SIX1	KCS9_ARATH	3-ketoacyl-CoA synthase 9 (KCS-9) (EC 2.3.1.199) (Very long-chain fatty acid condensing enzyme 9) (VLCFA condensing enzyme 9)	KCS9 At2g16280 F16F14.22	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G63690	Q8W469	SIPL2_ARATH	Signal peptide peptidase-like 2 (AtSPPL2) (EC 3.4.23.-)	SPPL2 At1g63690 F24D7.12	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G20696	P93047	HMGB3_ARATH	High mobility group B protein 3 (High mobility group protein B 2) (AtHMGbeta2) (HMG beta 2) (Nucleosome/chromatin assembly factor group D 03) (Nucleosome/chromatin assembly factor group D 3)	HMGB3 HMG1 HMGB2 HMGBETA2 NFD03 NFD3 At1g20696 F2D10	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G08465	Q9XFB0	YAB2_ARATH	Putative axial regulator YABBY 2	YAB2 At1g08465 T27G7.15	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G27860	Q9ZUY6	AXS1_ARATH	UDP-D-apiose/UDP-D-xylose synthase 1 (EC 4.1.1.35)	AXS1 UAXS At2g27860 F15K20.4	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G13800	Q8LPS5	SERK5_ARATH	Somatic embryogenesis receptor kinase 5 (AtSERK5) (EC 2.7.11.1) (Somatic embryogenesis receptor-like kinase 5)	SERK5 At2g13800 F13J11.15	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G28520	Q9SGQ0	VOZ1_ARATH	Transcription factor VOZ1 (Protein VASCULAR PLANT ONE-ZINC FINGER 1) (AtVOZ1)	VOZ1 At1g28520 F1K23.24 F3M18.4	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G08820	B9DHD7	VAP22_ARATH	Vesicle-associated protein 2-2 (Plant VAP homolog 22) (AtPVA22) (VAMP-associated protein 2-2) (Vesicle-associated protein 27-2)	PVA22 VAP27-2 At1g08820 F22O13.31	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G36710	O23210	SCL15_ARATH	Scarecrow-like protein 15 (AtSCL15) (GRAS family protein 25) (AtGRAS-25)	SCL15 At4g36710 C7A10.650	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G24660	Q9SB61	ZHD2_ARATH	Zinc-finger homeodomain protein 2 (AtZHD2) (Homeobox protein 22) (AtHB-22) (Protein MATERNAL EFFECT EMBRYO ARREST 68)	ZHD1 HB22 MEE68 At4g24660 F22K18.140	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G21830	Q8VY86	MSRB7_ARATH	Peptide methionine sulfoxide reductase B7 (AtMSRB7) (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)	MSRB7 At4g21830 T8O5.40	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G16530	Q9LK72	LECT5_ARATH	Lectin-like protein At3g16530	At3g16530 MDC8.16	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G22570	Q9SK99	PTR11_ARATH	Protein NRT1/ PTR FAMILY 5.15 (AtNPF5.15)	NPF5.15 At1g22570 F12K8.8	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G32520	Q94JQ3	GLYP3_ARATH	Serine hydroxymethyltransferase 3, chloroplastic (AtSHM3) (AtSHMT3) (EC 2.1.2.1) (Glycine hydroxymethyltransferase 3) (Serine methylase 3)	SHM3 SHMT3 At4g32520 F8B4.220	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G25390	Q9STJ8	Y4539_ARATH	Receptor-like serine/threonine-protein kinase At4g25390 (EC 2.7.11.1)	At4g25390 T30C3.60	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G24510	Q39048	CER2_ARATH	Protein ECERIFERUM 2	CER2 At4g24510 F22K18.290	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G22780	Q8LJW1	ACR7_ARATH	ACT domain-containing protein ACR7 (Protein ACT DOMAIN REPEATS 7)	ACR7 At4g22780 T12H17.170	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G01550	Q9M126	NAC69_ARATH	NAC domain-containing protein 69 (ANAC069) (Protein NAC WITH TRANSMEMBRANE MOTIF 2) (Protein NTM1-like 13)	NAC69 NTL13 NTM2 At4g01550 F11O4.5	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G24120	Q94A57	PHL2_ARATH	Protein PHR1-LIKE 2 (Myb family transcription factor PHL2)	PHL2 At3g24120 MUJ8.3	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G14160	Q9LJH2	AKB1C_ARATH	DNA N(6)-methyladenine demethylase ALKBH1C (DNA 6 mA demethylase ALKBH1C) (EC 1.14.11.51) (Alkylated DNA repair protein alkB homolog 1C) (AtALKBH1C) (Protein alkB homolog 1C) (Alpha-ketoglutarate-dependent dioxygenase ALKBH1C)	ALKBH1C At3g14160 MAG2.12	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G13790	Q43866	INV1_ARATH	Beta-fructofuranosidase, insoluble isoenzyme CWINV1 (EC 3.2.1.26) (Cell wall beta-fructosidase 1) (AtbetaFRUCT1) (Cell wall invertase 1) (AtcwINV1) (Sucrose hydrolase 1)	CWINV1 BFRUCT1 At3g13790 MMM17.26	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G05920	Q9SFF7	HIP43_ARATH	Heavy metal-associated isoprenylated plant protein 43 (AtHIP43)	HIPP43 At3g05920 F10A16.22 F2O10.12	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G03890	Q8LDU1	HOZ_ARATH	Non-canonical heme oxygenase HOZ, chloroplastic (EC 1.14.-.-) (Protein HOMOLOG OF HugZ)	HOZ At3g03890 F20H23.6	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G45140	Q9SHC8	VAP12_ARATH	Vesicle-associated protein 1-2 (Plant VAP homolog 12) (AtPVA12) (VAMP-associated protein 1-2) [Cleaved into: Vesicle-associated protein 1-2, N-terminally processed]	PVA12 VAP12 At2g45140 T14P1.5	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G42400	Q9SLB9	VOZ2_ARATH	Transcription factor VOZ2 (Protein VASCULAR PLANT ONE-ZINC FINGER 2) (AtVOZ2)	VOZ2 At2g42400 MHK10.12	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G19640	Q9ZUM9	ASHR2_ARATH	Histone-lysine N-methyltransferase ASHR2 (EC 2.1.1.-) (ASH1-related protein 2) (Protein SET DOMAIN GROUP 39)	ASHR2 SDG39 SET39 At2g19640 F3P11.24	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G03670	Q9ZPR1	CD48B_ARATH	Cell division control protein 48 homolog B (AtCDC48b)	CDC48B At2g03670 F19B11.12	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G01860	Q5XET4	PP142_ARATH	Pentatricopeptide repeat-containing protein At2g01860 (Protein EMBRYO DEFECTIVE 975)	EMB975 At2g01860 T23K3.5	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G79500	Q9AV97	KDSA1_ARATH	2-dehydro-3-deoxyphosphooctonate aldolase 1 (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase 1) (AtkdsA1) (KDO 8-P synthase) (KDOPS) (Phospho-2-dehydro-3-deoxyoctonate aldolase)	KDSA1 At1g79500 T8K14.8	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G72050	Q84MZ4	TF3A_ARATH	Transcription factor IIIA (AtTFIIIA)	TFIIIA At1g72050 F28P5.6	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G65010	F4I8B9	Y1501_ARATH	Putative WEB family protein At1g65010, chloroplastic	At1g65010 F13O11.30	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G54290	Q94JV4	SUI12_ARATH	Protein translation factor SUI1 homolog 2	At1g54290 F20D21.53	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G52760	Q9C942	CSE_ARATH	Caffeoylshikimate esterase (EC 3.1.1.-) (Lysophospholipase 2) (LysoPL2)	CSE At1g52760 F14G24.3	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G33060	B5X570	NAC14_ARATH	NAC domain-containing protein 14 (ANAC014) (Protein NTM1-like 2)	NAC014 NTL2 At1g33060	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G27530	Q9SXC8	UFC1_ARATH	Ubiquitin-fold modifier-conjugating enzyme 1 (Ufm1-conjugating enzyme 1)	At1g27530 T17H3.3	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G16420	Q9SA41	MCA8_ARATH	Metacaspase-8 (AtMC8) (EC 3.4.22.-) (Metacaspase 2e) (AtMCP2e)	AMC8 MCP2E At1g16420 F3O9.22	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G15500	P92935	TLC2_ARATH	ADP,ATP carrier protein 2, chloroplastic (ADP/ATP translocase 2) (Adenine nucleotide translocase 2)	AATP2 At1g15500 T16N11.1	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G26410	Q84K90	RHIP1_ARATH	RGS1-HXK1-interacting protein 1	RHIP1 At4g26410 M3E9.160	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G49290	Q9M3A3	ABIL2_ARATH	Protein ABIL2 (Abl interactor-like protein 2) (AtABIL2)	ABIL2 At3g49290 F2K15.150	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G26090	Q8H1F2	RGS1_ARATH	Regulator of G-protein signaling 1 (AtRGS1)	RGS1 At3g26090 MPE11.27 MPE11.28	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G32670	O48850	VA725_ARATH	Vesicle-associated membrane protein 725 (AtVAMP725)	VAMP725 At2g32670 F24L7.19	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G26400	O48707	MTND1_ARATH	Acireductone dioxygenase 1 (Acireductone dioxygenase (Fe(2+)-requiring) 1) (ARD' 1) (Fe-ARD 1) (EC 1.13.11.54) (Acireductone dioxygenase (Ni(2+)-requiring) 1) (ARD 1) (Ni-ARD 1) (EC 1.13.11.53)	ARD1 At2g26400 T9J22.7	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G05500	Q8L706	SYT5_ARATH	Synaptotagmin-5 (NTMC2T2.1) (Synaptotagmin E)	SYT5 SYTE At1g05500 T25N20.15	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G28930	P54121	AIG2A_ARATH	Protein AIG2 A (EC 2.3.2.-) (Avirulence-induced gene 2 protein) (Avirulence-induced gene 2 protein A) (AvrRpt2-induced gene 2) (Protein AIG2) (Putative gamma-glutamylcyclotransferase)	AIG2A AIG2 At3g28930 K5K13.3 K5K13_1	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G05500	Q9MA63	Y3550_ARATH	REF/SRPP-like protein At3g05500	At3g05500 F22F7.5	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G38530	Q9S7I3	NLTP2_ARATH	Non-specific lipid-transfer protein 2 (LTP 2) (Protein CELL GROWTH DEFECT FACTOR 3)	LTP2 CDF3 At2g38530 T6A23.27	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G23090	O64818	Y2309_ARATH	Uncharacterized protein At2g23090	At2g23090 F21P24.15	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G71260	Q8VYF7	WHY2_ARATH	Single-stranded DNA-binding protein WHY2, mitochondrial (Protein WHIRLY 2) (AtWHY2)	WHY2 At1g71260 F3I17.9	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G69460	Q8VY92	P24DA_ARATH	Transmembrane emp24 domain-containing protein p24delta10 (p24 family protein delta10) (p24delta10) (p24 family protein delta2d) (p24delta2d)	At1g69460 F10D13_26	Arabidopsis thaliana (Mouse-ear cress)	reviewed
